pk,jsondata,polymorphic_type,id,name,description,markup_description
243,{},custom,56,"Is there concord within the NP, i.e. agreement of elements within the NP with the noun class of a noun?",,
244,{},custom,57,Are there numeral classifiers?,,
245,{},custom,58,Are there possessive classifiers?,,
246,{},custom,59,Is alienable/inalienable a relevant distinction?,,
247,{},custom,6,Is there a phonemic velar fricative or glide?,,
248,{},custom,60,Are there different possessive constructions?,,
249,{},custom,61,Can possession be marked by a prefix?,,
250,{},custom,62,Can possession be marked by a suffix?,,
251,{},custom,63,Can possession be marked on the nominal possessor?,,
252,{},custom,64,Can possession be marked on the nominal possessee?,,
253,{},custom,65,What is the relative position of possessor and possessed in the attributive possessive construction?,,
254,{},custom,66,Are there different orders of elements in a possessive phrase for different classes of possession?,,
255,{},custom,67,What is the counting system?,,
256,{},custom,68,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) act like verbs in predicative position?",,
257,{},custom,69,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",,
258,{},custom,7,Is there a voicing contrast between oral (i.e. non-prenasal) stops?,,
259,{},custom,70,"Is there case marking for core nominal NPs (i.e., S, A or O function)?",,
260,{},custom,71,Is there case marking for core pronouns?,,
261,{},custom,72,Is there case marking for oblique nominal NPs?,,
262,{},custom,73,Is there case marking for oblique pronouns?,,
263,{},custom,74,Are there prepositions?,,
264,{},custom,75,Are there postpositions?,,
265,{},custom,76,Are there adpositions to mark core NPs?,,
266,{},custom,77,Are there adpositions to mark oblique NPs?,,
267,{},custom,78,Is there a distinction between locational and directional adpositions?,,
268,{},custom,79,"Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?",,
269,{},custom,8,Is there a laminal/apical contrast?,,
270,{},custom,80,"Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?",,
271,{},custom,81,"Can infixation be used on verbs for derivational, aspectual, or voice-changing purposes?",,
272,{},custom,82,Is there present tense regularly morphologically marked on the verb?,,
273,{},custom,83,Is there past tense regularly morphologically marked on the verb?,,
274,{},custom,84,Is there future tense regularly morphologically marked on the verb?,,
275,{},custom,85,"Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?",,
276,{},custom,86,Is a distinction between punctual/continuous aspect available as a morphological choice?,,
277,{},custom,87,Is a distinction between realis/irrealis mood available as a morphological choice?,,
278,{},custom,88,"Is there an apprehensive modal category marked on the verb also known as 'evitative', 'lest', etc.?",,
279,{},custom,89,Is the S participant (at least sometimes) marked by a suffix/enclitic?,,
280,{},custom,9,Are there retroflexed consonants?,,
281,{},custom,90,Is the S participant (at least sometimes) marked by a prefix/proclitic?,,
282,{},custom,91,Is the A participant (at least sometimes) marked by a suffix/enclitic?,,
283,{},custom,92,Is the A participant (at least sometimes) marked by a prefix/proclitic?,,
284,{},custom,93,Is the O participant (at least sometimes) marked by a suffix/enclitic?,,
285,{},custom,94,Is the O participant (at least sometimes) marked by a prefix/proclitic?,,
286,{},custom,95,Are variations in marking strategies of core participants based on TAM distinctions?,,
287,{},custom,96,Are variations in marking strategies of core participants based on verb classes?,,
288,{},custom,97,"Are variations in marking strategies of core participants based on clause type, e.g. main vs. subordinate?",,
289,{},custom,98,Are variations in marking strategies  of core participants based on person distinctions?,,
290,{},custom,99,Do verb stems alter according to the person of a core participant?,,
