pk,comment,example,contributed_datapoint
142,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
143,no retro nasal,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
144,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
145,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
146,no uvular nasal,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
147,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
148,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
149,no velar nasal.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
150,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
151,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
152,a uvular nasal could have been possible,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
153,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
154,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
155,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
156,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
157,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
158,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
159,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
160,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
161,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
162,"p.24: Z'Graggen (1971:51) also lists the velar nasal /Å/ as a phoneme in Mauwake, but at||least synchronically it is not part of the basic inventory. All the words in Mauwake that have the velar nasal are shared with a neighbouring language, so they are likely to be borrowings.",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
163,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
164,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
165,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
166,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
167,,,Swintha Danielsen 2008-05-25
168,,,Swintha Danielsen 2008-05-25
169,,,Swintha Danielsen 2008-05-25
170,,,Swintha Danielsen 2008-05-25
171,,,Swintha Danielsen 2008-05-25
172,,,Swintha Danielsen 2008-05-25
173,,,Swintha Danielsen 2008-05-25
174,,,Swintha Danielsen 2008-05-25
175,,,Swintha Danielsen 2008-05-25
176,,,Swintha Danielsen 2008-05-25
177,,,Swintha Danielsen 2008-05-25
178,,,Swintha Danielsen 2008-05-25
179,,,Swintha Danielsen 2008-05-25
180,,,Swintha Danielsen 2008-05-25
181,,,Swintha Danielsen 2008-05-25
182,,,Swintha Danielsen 2008-05-25
183,,,Swintha Danielsen 2008-05-25
184,,,Swintha Danielsen 2008-05-25
185,,,Swintha Danielsen 2008-05-25
186,,,Swintha Danielsen 2008-05-25
187,,,Swintha Danielsen 2008-05-25
188,,,Swintha Danielsen 2008-05-25
189,,,Swintha Danielsen 2008-05-25
190,,,Swintha Danielsen 2008-05-25
191,,,Swintha Danielsen 2008-05-25
192,,,Swintha Danielsen 2008-05-25
193,,,Swintha Danielsen 2008-05-25
194,,,Swintha Danielsen 2008-05-25
195,,,Swintha Danielsen 2008-05-25
196,,,Swintha Danielsen 2008-05-25
197,,,Swintha Danielsen 2008-05-25
198,,,Swintha Danielsen 2008-05-25
199,,,Swintha Danielsen 2008-05-25
200,,,Swintha Danielsen 2008-05-25
201,,,Swintha Danielsen 2008-05-25
202,,,Swintha Danielsen 2008-05-25
203,,,Swintha Danielsen 2008-05-25
204,,,Swintha Danielsen 2008-05-25
205,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
206,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
207,LRC: 456,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
208,non-phonemic consonant length at onset of second syllable if followed by a dipthong [9],,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
209,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
210,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
211,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
212,"(p.13): at least for voiceless stops: pp, tt, kk, and two nasals: mm, nn.",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
213,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
214,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
215,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
216,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
217,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
218,"C.W. made the comment: ""of nasals""; but the thesis does not give evidence of length for consonants or vowels. Varying length in nasals is determined by syllablisation patterns. (See 'bird' in example 92.)",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
219,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
220,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
221,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
222,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
223,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
224,Rowe: 6,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
225,[426],,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
226,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
227,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
228,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
229,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
230,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
231,LRC: 440-441,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
232,VB: 12,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
233,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
234,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
235,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
236,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
237,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
238,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
239,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
240,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
241,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
242,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
243,"But likely result of elision of vowels, Reesink 2005:150",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
244,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
245,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
246,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
247,Brownie: 13,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
248,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
249,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
250,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
251,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
252,"at least for lateral and nasals, Rath 1993:73 gives [ballage] 'to ask'; [mamma] 'hot', and [kanna] '3s alienable poss'.",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
253,(p. 10-11),,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
254,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
255,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
256,none reflected in the examples or text,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
257,(p. 29),,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
258,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
259,"(kk, tt in a few emphatic words -p30- but does not seem general)",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
260,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
261,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
262,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
263,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
264,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
265,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
266,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
267,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
268,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
269,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
270,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
271,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
272,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
273,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
274,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
275,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
276,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
277,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
278,"Intervocallically, the rare geminate /kk/ [kÂ·h] contrasts with /k/ [g] in length, but this contrast is probably too far away from the spirit of this question.  See Phon 1964:12f.",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
279,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
280,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
281,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
282,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
283,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
284,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
285,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
286,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
287,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
288,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
289,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
290,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
291,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
292,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
293,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
294,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
295,p.78,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
296,"I put a 'Y' here because what Wilkinson describes as a fortis/lenis contrast seems to parallel what others describe in neighbouring languages as a consonant length distinction (p.39). However, Melanie Wilkinson (pers. comm.) writes that the distinction is probably not consonant length. But then again the distinction found in other Australian languages is probably also not exactly 'length' but has simply been described as such until further phonetic research is done.",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
297,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
298,p.37,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
299,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
300,There is prosodic consonant lengthening though (see p.81). It is analysed as prosodic rather than phonemic.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
301,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
302,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
303,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
304,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
305,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
306,Nash(1986):66,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
307,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
308,tate(to cut)+da(continual aspect)-->tadda; = result of morphological proces,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
309,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
310,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
311,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
312,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
313,but there are sequences of identical consonants,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
314,geminate consonants in roots' all except glottal stop,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
315,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
316,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
317,although there are geminate consonant clusters,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
318,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
319,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
320,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
321,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
322,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
323,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
324,AF: N - but there is in some neighbouring languages,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
325,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
326,Dixon: 13,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
327,Thieberger 2006: 46,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
328,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
329,"some indication for geminate: verbal plural mrkr /-lle/, p. 26, but this is the result of assimilation, Blevins p.162",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
330,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
331,Crowley:7,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
332,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
333,It is possible that consonant length is also involved in the distinction in the two plosive stop series given that this is important in stop contrasts in adjacent languages.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
334,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
335,McDonald:75,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
336,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
337,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
338,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
339,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
340,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
341,but there are geminate consonants,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
342,p. 739,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
343,geminate consonants are the result of devoicing and dropping of unstressed vowels.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
344,"p.651, but only for /rr/ vs /r/. All other cases of geminate consonants are the result of assimilation. This may be too marginal to warrant a 'yes', but still, it's thereâ¦",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
345,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
346,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
347,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
348,"see p.13: at least for /n/ and /l/. In general, this is the result of elided vowels (not surprisingly)",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
349,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
350,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
351,[pp7-8],,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
352,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
353,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
354,Historically resulting from deletion of a vowel between identical consonants.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
355,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
356,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
357,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
358,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
359,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
360,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
361,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
362,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
363,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
364,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
365,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
366,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
367,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
368,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
369,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
370,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
371,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
372,p.195,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
373,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
374,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
375,p.7: long consonants should be regularly interpreted as a two-consonant sequence,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
376,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
377,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
378,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
379,There is a fortis-lenis contrast (p.7). This is not quite the same as consonant length but I have included here for Ngandi and other Australian languages.,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
380,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
381,"Fortis-lenis contrast exists, which is different to consonant length",,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
382,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
383,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
384,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
385,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
386,,,"Michael Dunn, Ger Reesink and Ruth Singer 2009"
