pk,doc,vdoc,name_french,clarification,alternative_id,representation,featuredomain_pk,designer_pk,dependson,abbreviation,sortkey_str,sortkey_int,jl_relevant_unit,jl_function,jl_formal_means
11,Locative as Direct Object ('she sleeps mat') does not qualify,0==absent||1==present,Est-il possible  de marquer la location ou la direction morphologiquement sur le verbe?,"Serial-verb-constructions that include a marker of location (verbs meaning ""go"") do not count here.",3.5.05a,282,2,1,108,VLocativeDir,,108,verb,argument marking,head marking
12,"(list them all if feasible, otherwise give an estimate of the number and/or proportion of nouns)",0==absent||1==present,Existe-t-il des verbes qui sont supplétifs selon le nombre des participants ?,"Please do note that ""number of participants"" need not be the same as number of the NPs that are the arguments of the verb, i.e ""people"" can be marked as singular even though it is semantically plural. Auxiliaries are also included in ""verbs"".",3.6.01,277,2,1,109,VSuppletion,,109,verb,number,suppletion
13,Count as present even if there are also differences in vowel quality in addition to simply length,0==absent||1==present,,,1.1.11,236,2,1,,PhonVowelLength,,11,,,
14,Are there verbs that have suppletive forms as to tense or aspect,0==absent||1==present,Existe-t-il des verbes qui marquent l’aspect ou le temps par supplétion ?,,3.6.01a,263,2,1,110,TASuppletion,,110,verb,TAM marking,suppletion
15,Are there different conjugation classes for verbs?,0==absent||1==present,Existe-t-il des classes de conjugaison ?,"Are there different groups of verbs that take different finiteness markers. This could also be two groups of ""regular"" and ""irregular"".",3.6.02,305,2,1,111,ConjClasses,,111,verb,verbal classification,conjugation
16,say no if it's only one or two stems; Intended here is the 'break' and 'open' type; not John eats/ eats the bread,0==absent||1==present,Existe-t-il (quelques) verbes pouvant être utilisés sot de manière transitive ou intransitive sans marquage morphologique ?,In order for a 'yes'(1) here it needs to be true of more than two verbal roots.,3.6.03,253,2,1,112,LabileVerbs,,112,verb,verbal classification,conjugation
17,,0==absent||1==present,Existe-t-il de la morphologie transitivisante (inclure les clitiques) ?,"Is there morphology that increases the valency from 1 to 2, i.e. makes a intransitive verb transitive? Markers that increase the valency of already transitive verbs do not count (instrumental and benefactives), nor do causatives. The marker that has this function may also serves as the causative marker. Here is an example from Tok Pisin:""mi silip long graun"" for ""I am sleeping on the ground"" versus ""mi silipim ston long graun"" for ""I put the stone on the ground"".",3.6.04,313,2,1,113,TransMorph,,113,verb,valency change,affixes & clitics (- agreement)
18,free word/particle does not count; neither a default P/N co-reference,0==absent||1==present,Existe-t-il un marquage morphologique (clitiques compris) pour l’action réfléchie ?,"This feature pertains to bound verbal marking. Phonologically independent elements do not count here, nor does co-reference of person or number with the subject.",3.6.06,297,2,1,114,ReflMorph,,114,verb,valency change,affixes & clitics (- agreement)
19,,0==absent||1==present,Existe-t-il un  marquage morphologie (clitiques compris) pour l’action réciproque ?,"This feature pertains to bound verbal marking. Phonologically independent elements do not count here, nor does co-reference of person or number with the subject.",3.6.07,304,2,1,115,RecipMorph,,115,verb,valency change,affixes & clitics (- agreement)
20,,0==absent||1==present,"Les verbes permettent-ils de classer en forme, dimension,  consistance ou position  des arguments  absolutifs u moyen de noms incorporés, d’affixes verbaux ou de bases verbales supplétives?","This questions aims at capturing verbal classifier systems, these systems are not based on agreement with the noun class system (Aikhenvald 2000:149). The system can however be identical or very similar to the possessive, numeral or demonstrative classifier systems.",3.6.08,243,1,1,116,ShapeClass,,116,verb,nominal classification,multiple
21,e.g. John is a teacher,0==absent||1==present,Existe-t-il une copule pour prédiquer des noms (une copule équationnelle)?,"This linker does not have to be a finite verb, it could be a demonstrative.",3.7.01,328,2,1,117,Copula,,117,copula,predication,inserted item
22,"(i.e. two or more verbs in juxtaposition, functioning as a single predicate, with no morphology to mark their relationship with each other. Each of the verbs is a separate phonological word but the construction as a whole is expressed in one intonational unit. Morphology is shared to a greater or lesser extent.)",0==absent||1==present,Existe-t-il des constructions de verbes sériel?,"Serial verbs are two or more verbs in juxtaposition, functioning as a single predicate, with no morphology to mark their relationship with each other. Each of the verbs is a separate phonological word but the construction as a whole is expressed in one intonational unit. Morphology is shared to a greater or lesser extent. Serial verbs are different from clause-chaining because the verbs involved in clause-chaining lack finiteness and cannot occur independently in that form whereas serial verbs take the appropriate finiteness marking. Serial verbs are different from compounds because they can each take their own arguments whereas the roots of a compound share arguments.",3.7.03,288,2,1,154:1 -> 118:1,SerialVConst,,118,verb,predication,concatenation
23,,0==absent||1==present,Existe-t-il des auxiliaires maudaux?,"The definition of auxiliary is not limited to morphemes that have a verbal origin, nor do they need to share morphology with the main verb. The main characteristics here is that they are productive, grammatical and obligatory ways of marking TAME, voice or negation and not a phonological unit with the main verb. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"". While negation can be considered a grammatical mood, it is not included in this feature.",3.7.04a,256,2,1,119,ModalAux,,119,auxiliary,TAM marking,functional inventory
24,,0==absent||1==present,,,1.1.12,209,2,1,,CentralVContr,,12,,,
25,,0==absent||1==present,Existe-t-il des auxiliaires aspectuels ?,"The definition of auxiliary is not limited to morphemes that have a verbal origin, nor do they need to share morphology with the main verb. The main characteristics here is that they are productive, grammatical and obligatory ways of marking TAME, voice or negation and not a phonological unit with the main verb. There are instances where grammatical aspect can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for more than one question.",3.7.04b,256,2,1,120,AspectAux,,120,auxiliary,TAM marking,functional inventory
26,,0==absent||1==present,Existe-t-il des auxiliaires de temps ?,"The definition of auxiliary is not limited to morphemes that have a verbal origin, nor do they need to share morphology with the main verb. The main characteristics here is that they are productive, grammatical and obligatory ways of marking TAME, voice or negation and not a phonological unit with the main verb. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary.  If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary"".",3.7.04c,268,2,1,121,TenseAux,,121,auxiliary,TAM marking,functional inventory
27,(i.e. two or more verb stems acting as one phonological and grammatical word),0==absent||1==present,la formation de verbes composés est-elle un processus régulier ?,"Verbal compounding is two or more verb stems acting as one phonological and grammatical word. Verb compounds share the same arguments. Languages with serial verbs can often have verb compounds too, however they might not always be described as such.",3.7.05,247,2,1,122,VCompounding,,122,verb,derivation,concatenation
28,"(i.e. constructions involving a non-predicating element expressing the lexical meaning of the construction, in conjunction with a semantically fairly empty verb, which enables the element to function as a predicate by providing the necessary morphology, e.g. eye do for 'see'; or sneeze hit for 'sneeze')",0==absent||1==present,Existe-t-il des construction des verbes-adjointes (i.e. ‘light-verbs’)?,"This question concerns constructions involving a non-predicating element expressing the lexical meaning of the construction, in conjunction with a semantically fairly empty verb, which enables the element to function as a predicate by providing the necessary morphology, e.g. 'eye do' for 'see'; or 'sneeze hit' for 'sneeze'. Exclude constructions that fall into the categories of verb compounding, clause-chaining, auxiliaries and serial verbs are excluded from the category of ""light-verb"". The verb needs to be sufficiently productive, it cannot only concern a few instances.  It is uninteresting whether the predicating element is of nominal/verbal/other root. This means for example that what is described in the literature as ""co-verb constructions"" most likely are a subcategory of light verbs. It is also uninteresting for the definition of light-verbs whether or not the non-finite predicating element can occur outside the construction or not, both scenarios are acceptable. The category of light verbs cannot all consist of constructions describing states, there has to be at least a few dynamic events. There should also be instances where it is hard to define whether the non-finite predicating element (adjunct) is clearly nominal or not.",3.7.06,238,2,1,123,VAdjuncts,,123,verb,derivation,concatenation
29,,0==absent||1==present,L’incorporation de noms dans des verbes est-elle un processus productif d’ intransitivisation?,"Can transitive verbs become intransitive by means of noun incorporation, and is this process productive? This need not be the default productive way of intransitivizing nouns, but the process needs to be productive. The incorporated noun is the direct object of the verb. For example: ""he was painting the bike"" = ""he was bike-painting"". Noun incorporation where the noun is acting as modifier do not count, such as ""she was running like Jacob runs"" = ""she was Jacob-running"". If it is necessary to still overtly mark the direct object, for example with a pronoun that this does not count.",3.7.07a,215,2,1,124,VNIncorp,,124,clause,valency change,concatenation
30,,0==absent||1==present,"Existe-t-il un processus productif d’incorporation d’autres éléments (adjectifs, locatifs, etc) aux verbes?","This question does not concern grammatical LOC-marking on verbs, but the incorporation of lexical items. Auxiliaries are also included in ""verbs"".",3.7.08,221,2,1,125,VOtherIncorp,,125,verb,derivation,concatenation
31,To count as existential the verb has be different from the copula verb. Include negative existential verbs.,0==absent||1==present,Existe-t-il un ou plusieurs verbe existentiels?,"Is there an element expressing existential or locational predication, that is different from the equative or attributive copula? It is possible that there are more than one existential/locational element making further distinctions, temporary versus permanent existence or a special marker for negative existence.  Different positional verbs do not count here. The existential/locational marker can be used for the expression of other functions, such as aspect, as long as it is not identical to the copula of identity or attribution. The existential verb need not take the same morphological marking an syntactic position as the word class labeled ""verbs"", it can for example be described as a copula or demonstrative.",3.8.01,275,2,1,126,ExistentialV,,126,verb,predication,functional inventory
32,"(i.e. in answer to a question 'Where is the X', does the verb used in the answer depend on the type of referent (e.g. do you have to say 'The X sits/stands/lies/etc on the table'). List them all.",0==absent||1==present,Existe-t-il des verbes de position (de verbes classificatoires) ?,"Is it obligatory to mark position when denoting location, i.e. do you have to say 'the X sits/stands/lies/etc. on the table'? Note that for (1) this needs to be obligatory. This feature concerns inherent lexical properties, not if there is productive morphology to mark position (that is F116).",3.8.02,205,2,1,127,PositionialV,,127,verb,nominal classification,functional inventory
33,e.g. stem suppletion; different affixation,0==absent||1==present,Le verbe « donner » est-il morphologiquement  particulier (diffèrent de la plupart des autres verbes ) ?,Does it for example undergo suppletion in certain circumstances or have an unusual set of affixes?,3.8.03,291,2,1,128,IrregGive,,128,verb,verbal classification,conjugation
34,,0==absent||1==present,"Y-a-t-il un nombre  particulièrement faible de verbes dans la langue, i.e. à peu près 100 ou moins?","This is not always explicitly stated by the descriptive work, but an investigation into texts and wordlists should reveal this.",3.8.04,315,2,1,129,ClosedClassV,,129,verb,verbal classification,functional inventory
35,"suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena (don't include phonemic vowel length)",0==absent||1==present,,,1.1.15,212,2,1,,PhonStress,,13,,,
36,,1==SV||2==VS||3==both,Quel est l'ordre non marqué pragmatiquement du sujet et du verbe dans les clauses intransitives?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",see 4.1.01 and 4.1.02,316,2,1,130,OrderSV,,130,clause,argument marking,word order
37,,0==absent||1==present,Existe-il un ordre de constituants non marqué pragmatiquement avec le verbe en position initiale pour les clauses transitives ?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",4.1.03,345,2,1,131,VInitTrans,,131,clause,argument marking,word order
38,,0==absent||1==present,Existe-il un ordre de constituants non marqué pragmatiquement avec le verbe en position médiane pour les clauses transitives ?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",4.1.04,374,2,1,132,VMedTrans,,132,clause,argument marking,word order
39,,0==absent||1==present,Existe-il un ordre de constituants non marqué pragmatiquement avec le verbe en position finale pour les clauses transitives ?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",4.1.05,343,2,1,133,VFinalTrans,,133,clause,argument marking,word order
40,,0==absent||1==present,L’ordre des constituants est-il le même dans les clauses subordonnée principale?,"This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent). There might be asymmetries cause by TAME, negation or certain other markers, make sure you look through many different examples.",4.1.05a,267,2,1,134,MainSubClOrd,,134,clause,argument marking,word order
41,,0==absent||1==present,Les objets de clause apparaissent-ils dans la même position que les objets nominaux,"By clausal objects here we mean clauses that are directly governed by a finite verb (typically verbs of 'wanting', 'saying' etc.). In other words, complement subordinate clauses and not relative. The question aims at discerning whether they are treated like prototypical nominal direct objects, not indirect or obliques. This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this. There might be asymmetries cause by TAME, negation or certain other markers, make sure you look through many different examples.",4.1.05b,257,2,1,135,ClObjPoss,,135,clause,argument marking,word order
42,"Do not consider 'left or right-dislocation', accompanied by intonational signals",0==absent||1==present,Est-ce que l'ordre des constituants est fixe?,"If the word order is non-fixed it is definitely not used to distinguish the semantic roles of arguments (opposite is not true though). Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus. Word order can be fixed, but not necessarily the same in all context (it could vary with the nature of the subject, TA etc.).",4.1.06,309,2,1,136,FixedConOrd,,136,clause,argument marking,word order
43,This includes suffixes on verb-final clauses; prefixes on clause-final verbs do not count; Don't include elliptical 'Pete didn't',0==absent||1==present,La négation peut-elle être marquée en fin de clause ?,"This feature refers to Standard Negation, i.e. at least the negation of dynamic verbal predicates in declarative mood.  This includes suffixes on verb-final clauses, but prefixes on clause-final verbs do not count. Do not include elliptical constructions of the kind ""'Pete didn't"".",4.1.07,327,2,1,137,ClFinalNeg,,137,clause,negation,multiple
44,Don't include elliptical 'Not Mary',0==absent||1==present,La négation peut-elle être marquée en début de clause ?,"This feature refers to Standard Negation, i.e. at least the negation of dynamic verbal predicates in declarative mood.  Do not include elliptical constructions of the kind  'Not Mary'.",4.1.08,326,2,1,138,ClInitNeg,,138,clause,negation,multiple
45,,0==absent||1==present,Existe-t-il une différence entre négation de impératvef et négation déclarative ?,"This feature covers more than only different negators, different order, loss of finiteness or addition of new elements would also suffice. If the analysis of the language-specific researcher results in two different forms for negative imperative and prohibitive, then we are only concerned with the construction that is fulfilling the traditional imperative function for the coding of F139.",4.1.09,323,2,1,139,ImpDeclNeg,,139,clause,negation,multiple
46,"suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena",0==absent||1==present,,,1.1.16,173,2,1,,WeightSens,,14,,,
47,,0==absent||1==present,Les prédicats verbaux et non-verbaux sont-ils marqués par le même négateur?,"This feature pertains only to the negative marker itself, be it an independent particle, verb, auxiliary, clitic or affix. By non-verbal here we are referring to locationa/existential predication, attributive predication and predicate nouns. Negation of possession, capability or knowing are not included. However, it is very likely that languages that have different negation from the standard negator for these functions also makes a distinction between locationa/existential and standard.",4.1.10,295,2,1,140,VNonVNeg,,140,other,negation,multiple
48,,0==absent||1==present,"Est-ce que S et O sont  amalgamés morphologiquement, au moins dans  certaines constructions basiques comme les clauses principales?","This question pertains to alignment of core arguments, bound or free. S & O alignment can be described as a kind of ergative-absolutive pattern. The alignment need not concern the entire person paradigm, if there is conflation in only one person this will suffice for a yes (1). If the language has no case marking of core arguments whatsoever there will be a yes (1) in both F141 and F142.",4.2.01,310,2,1,141,SOMorphConfl,,141,clause,argument marking,case marking
49,,0==absent||1==present,"Est-ce que S et A sont  amalgamés morphologiquement, au moins dans certaines constructions basiques comme des clauses principales ?","This question pertains to alignment of core arguments, bound or free. S & A alignment can be described as a kind of nominative-accusative pattern. The alignment need not concern the entire person paradigm, if there is conflation in only one person this will suffice for a yes (1). If the language has no case marking of core arguments whatsoever there will be a yes (1) in both F141 and F142.",4.2.02,315,2,1,142,SAMorphConfl,,142,clause,argument marking,case marking
50,,0==absent||1==present,"Est-ce que S et O sont amalgamés morphologiquement à travers les limites de clauses, c’est-à-dire fonctionnent comme pivot syntaxique ?","This concerns a construction of two clauses, the first transitive and the second intransitive. If the subject (S) is omitted in the second clause, is the interpretation that it is the A or the O that is the subject? Did the dog (O) run away in the sentence ""the dog bit the man and ran away""? If it is not possible to omit subject (for example by obligatory verbal agreement), investigate what the pattern is when S, A and O all belong to the same gender and/or number and/or person category. It is possible that both interpretations are grammatical, the ambiguity is resolved by speakers inferring from what is most semantically probable.",4.2.03,233,2,1,143,SOPivot,,143,discourse,argument marking,case marking
51,,0==absent||1==present,"Est-ce que S et A sont  amalgamés morphologiquement à travers les limites des clauses, c’est-à-dire fonctionnent comme pivot syntaxique ?","This concerns a construction of two clauses, the first transitive and the second intransitive. If the subject (S) is omitted in the second clause, is the interpretation that it is the A or the O that is the subject? Did the dog (O) run away in the sentence ""the dog bit the man and ran away""? If it is not possible to omit subject, investigate what the pattern is when S, A and O all belong to the same gender and/or number and/or person category. It is possible that both interpretations are grammatical, the ambiguity is resolved by speakers inferring from what is most semantically probable.",4.2.04,233,2,1,144,SAPivot,,144,discourse,argument marking,case marking
52,,0==absent||1==present,"Est-ce que S et O fonctionnent de la même manière, et différemment de A, quelle que soit la construction syntaxique ?",,4.2.05,284,2,1,"(143:1 ^ 144: 0)-> 145:1, (141:1 and 142:1) ->145:1",SOConflOther,,145,clause,argument marking,construction
53,"E.g., is there a morphosyntactic device dedicated to the difference between ""I deliberately forgot the keys""  and  ""I accidentally forgot the keys"" . Languages with constructions like ""hunger hits me""  or ""sickness hits me""  should be included.",0==absent||1==present,Existe-t-il une distinction morpho-syntaxique entre des prédicats qui expriment  des états ou évènements maitrisés par opposition à d’autres non maitrisés?,"This marking need not consists of a bound marker on the verb, it encompasses other constructions as well as long as they mark control/voluntariness. This question can be hard to answer negatively with great certainty. Auxiliaries are also included in ""verbs"". Constructions of the kind such as ""sickness hits me"" are included.",4.2.06,266,2,1,146,ControlPred,,146,verb,argument marking,multiple
54,morphological marking includes some verbal affixation or some periphrastic element in the VP or clause,0==absent||1==present,Existe-t-il une construction morphologique de passif ?,"Is there a marker bound to the verb that encode the derived diatheses in which the agent role is not linked with a subject noun phrase. It is not relevant for this feature whether or not the marking of the agent role in an oblique role is prohibited, i.e. constructions of the kinds found in Finnish and other Uralic languages are also included in passive here.",4.2a.01,281,2,1,147,MorphPass,,147,verb,valency change,affixes & clitics (- agreement)
55,morphological marking includes some verbal affixation or some periphrastic element in the VP or clause,0==absent||1==present,Existe-t-il une construction morphologique d’anti-passif ?,"Is there a marker on the verb that decreases the valency of the verb by omission of (at least) the direct object? In ergative languages this would mean that the ergative agent becomes absolutive, if the marker is applied to a transitive verb.",4.2a.02,280,2,1,148,MorphAntipas,,148,verb,valency change,affixes & clitics (- agreement)
56,"i.e. different marking by verbal affixation or pronominal clitics referring to A and O, depending on person, animacy or definiteness",0==absent||1==present,Existe-t-il un  inversif  marqué morphologiquement ?,"The definition of a direct–inverse language is a matter under research, but it is widely understood to involve different grammar for transitive predications according to the relative positions of their ""subject"" and their ""object"" on a person hierarchy, which in turn is some combination of saliency and animacy specific to a given language. The direct construction is the unmarked one. The direct construction is used when the subject of the transitive clause outranks the object in the person hierarchy, and the inverse is used when the object outranks the subject.",4.2a.03,280,2,1,149,MorphInverse,,149,clause,argument marking,affixes & clitics (- agreement)
57,"suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena",0==absent||1==present,,,1.1.17,177,2,1,,SyllPosSens,,15,,,
58,(i.e. chains of morphologically stripped-down medial clauses which are dependent on one final clause for their TAM or participant marking specification),0==absent||1==present,Existe-t-il des enchainements de clauses?,"Clause-chaining here is not just juxtapositioning of minimal clauses with no connecters, but chains of morphologically stripped-down medial clauses which are dependent on a single clause usually, but not necessarily, final. ||""Clause-Chains (a.k.a Topic Chains, Medial Clauses, etc.) are long series of verbs and verb phrases with incomplete marking (medial clauses) followed by one fully specified verb which provides the missing categories. Only the final verb form may occur freely. Medial verbs are dependent on an independent form."" (Weisser 2013:1)",4.3.01,262,2,1,150,ClauseChain,,150,clause,predication,concatenation
59,,0==absent||1==present,Existe-t-il un système de « switch-reference » marqué morphologiquement ?,"Is there a marker, usually on the verb, that marks if the argument shares the same referent as an argument of the preceding clause or not.",4.3.02,301,2,1,151,SwitchRef,,151,discourse,argument marking,head marking
60,,0==absent||1==present,Existe-t-il une distinction morphologique entre clauses simultanées et séquentielles?,"This question is concerned with verbal marking. If sequentially is a secondary function of a imperfective aspect this does not count, it needs to be a devoted marker. The language does not need to express both overtly, one marker devoted to either function will do.",4.3.03,275,2,1,152,SimSeqCl,,152,clause,iconicity,affixes & clitics (- agreement)
61,(e.g. 'I said for him to go' for 'I wanted him to go'),0==absent||1==present,Est-ce que le verbe « dire »ou une construction de discours indirect est utilisée pour des construction desiratives ?,e.g. 'I said for him to go' for 'I wanted him to go',4.3.04,239,2,1,153,DesidSay,,153,verb,valency change,construction
62,,0==absent||1==present,Les causatifs sont-ils formés par des verbes sériels?,See 118 for definition of serial verb.,4.4.01,286,2,1,118:0 -> 154:na,SerialVCaus,,154,verb,valency change,concatenation
63,,0==absent||1==present,Est-ce que les causatives sont formes par des affixes?,,4.4.02,319,2,1,155,AffixCaus,,155,verb,valency change,affixes & clitics (- agreement)
64,,0==absent||1==present,Les causatifs sont-ils formés par une construction impliquant le verbe ‘dire’ ?,,4.4.03,283,2,1,156,SayConstCaus,,156,verb,valency change,construction
65,(i.e. a discourse strategy in which the final verb of one sentence is repeated as the first verb of the next sentence),0==absent||1==present,Existe-t-il  un « tail-head linkage »?,"Tail-head linkage (THL) is a discourse pattern which consists in repeating, at the beginning of a new sentence, the main verbal root (with or without accompanying material) of the preceding sentence for discourse cohesion. This is a feature that is very striking if the language has it and it should be very evident in at least narratives. Sometimes so called ""Generic THL"" is included in typological surveys of THL, i.e. when the same verbal roots i not repeated but a generic verb (often 'do' or make'). If the language only displays Generic THL then it’s a no (0), it has to be a repetition of the exact same verbal root. Another potentially problematic issue is if the language only displays THL in instructional texts (recipes, rituals etc.). If that is the case, mark it down with a '?' and a comment.",4.5.03,208,2,1,157,TailHeadLink,,157,discourse,cohesion,inserted item
66,Either partial or full reduplication counts,0==absent||1==present,Peut-on rédupliquer lesverbes?,"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication counts, but if there is only partial the language should be coded with a ""?"" and a comment. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone.",4.5.05,304,2,1,158,VerbRedup,,158,verb,derivation,reduplication
67,Either partial or full reduplication counts,0==absent||1==present,Peut-on rédupliquer lesnoms?,"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication counts, but if there is only reduplication of individual phonemes the language should be coded with a ""0"" and a comment. Reduplication of units larger than one phoneme, independent of whether they are morphemes or not, also counts as reduplication here. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone.",4.5.06,267,2,1,159,NounRedup,,159,noun,derivation,reduplication
