ID,Name,Description,Contributor_ID,Doc,Vdoc,Name_french,Clarification,Alternative_id,Representation,Dependson,Abbreviation,Jl_relevant_unit,Jl_function,Jl_formal_means,Domain
28,Is there an inclusive/exclusive distinction?,,gerreesink,,0==absent||1==present,Existe-t-il une distinction inclusif/exclusif?,"Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? It could be that only inclusion is differentiated and not exclusion, exclusion does not have to be overtly marked for (1) here. This feature is not restricted to the pronominal system but includes verbal marking as well. This means that if is not in a direct dependency relation to F29.",2.2.01,348,28,InclExclDist,pronoun,deixis,functional inventory,Arawakan-specific
29,Is there a minimal-augmented system?,,gerreesink,"i.e. four basic pronominal forms for 1sg, 2sg, 3sg and 1sg+2sg, which each can be affixed for plural (or dual etc.). For example, a pronoun system whose forms are 1sg A, 2sg B, 3sg C, 1sg+2sg D, 1pl.ex AE, 1pl.in DE, 2pl BE, 3pl CE is minimal- augmented because 1sg, 2sg, 3sg, 1sg+2sg have monomorphemic forms (A, B, C, D) and a plural marker (E) ""the augment"" is attached to the minimal forms to create the corresponding plural forms.",0==absent||1==present,Existe-t-il un système pronominal minimal/augmenté?,"These systems are similar to incl/excl, but there are forms that differentiate whether or not a third party are included. This can be combined with incl/excl like so:||Excl-Min : 1.sg (only)||Excl-Aug: 1.sg + 3.pl (NOT 2.sg)||Incl-Min: 1.sg + 2.sg (NOT 3.pl)||Incl-Aug: 1.sg + 2.sg + 3.pl",2.2.01a,314,29:1 -> 28:1,MinAug,pronoun,deixis,functional inventory,Arawakan-specific
30,"Is there a gender distinction in 3rd person pronouns (or demonstratives, if no 3rd person pronouns)?",,gerreesink,gender can be natural gender (m/f ) or animate vs inanimate or something else,0==absent||1==present,"Existe-t-il une distinction de genre pour les pronoms de 3ème  personne (ou pour les démonstratifs, s’il n’y a pas de pronoms de 3ème  personne)?","This is often natural gender (masc./fem), but it could be animacy as well. If pronouns of inanimate nouns agree with the gender/noun class of that noun that will suffice for (1) here.",2.2.02,346,(168:1 v 169.1) -> 30:1,GenDist3rd,pronoun,pronominal gender,functional inventory,Arawakan-specific
31,Is there a dual (or unit augmented) in addition to a plural (or augmented) number category in pronouns?,,gerreesink,,0==absent||1==present,Existe-t-il une catégorie de duel (ou augmentation d’unité) en plus du pluriel (ou augmentation) dans le système pronominal?,"This needs to be a category that is present for all persons, i.e. 29:1 -> 31:1 is not (necessarily) true",2.2.03a,316,29:1 -> 31:1,DualPronoun,pronoun,number,functional inventory,Arawakan-specific
32,Are 1st and 2nd persons conflated in any context?,,gerreesink,,0==absent||1==present,Existe-t-il des contextes où les marqueurs de 1ere et 2e personnes sont   amalgamés ?,"This can be hard to fully reject, but there is usually enough information about person marking in different TAME-paradigms, negation etc. to make a decision.",2.2.04,307,32,12PronConfl,other,person,conflation,Arawakan-specific
33,Are 2nd and 3rd persons conflated in non-singular numbers?,,gerreesink,morphologically in any paradigm; disregard pragmatics/politeness,0==absent||1==present,Existe-t-il des contextes où les marqueurs  de 2e  et 3e  personne sont  amalgamés pour les nombres non singuliers?,"This can be hard to fully reject, but there is usually enough information about person marking in different TAME-paradigms, negation etc. to make a decision.",2.2.05,307,33,23PronConfl,other,person,conflation,Arawakan-specific
34,Are person categories neutralized under some conditions?,,gerreesink,"e.g. in non-singular, under NEG, in certain TAM",0==absent||1==present,Existe-t-il des contextes où tous les marqueurs de personne sont neutralisés?,"In this question we mean all person categories, not just one person. It could for example be that person-marking entirely disappears under negation.",2.2.06,246,34,PersCatNeut,other,person,conflation,Arawakan-specific
35,Is there an opposition between three or more distance terms in the demonstrative system?,,gerreesink,,0==absent||1==present,Existe-t-il une opposition entre trois distinctions de distance ou plus dans le système démonstratif?,"Demonstratives are markers of a small set This doesn't have to be only Euclidean distance (meters, inches etc.), it could also be concerned with near or far in relation to the interlocutors (cf. Wolof). If the system of demonstratives includes a marker that is anaphoric this does not count as a third distance.",2.3.02a,305,35,3TermDems,demonstrative,deixis,functional inventory,Arawakan-specific
36,Is elevation morphologically marked in demonstratives?,,gerreesink,"E.g., do demonstratives obligatorily encode a difference like ""this above""  and  ""this below "".",0==absent||1==present,Existe-t-il une distinction de l’élévation dans le système démonstratif?,"Elevation is concerned with how high up or low an object is, altitude.",2.3.05,338,36,VerticalDem,demonstrative,deixis,functional inventory,Arawakan-specific
37,Is the opposition visible-non-visible marked on demonstratives?,,gerreesink,,0==absent||1==present,Existe-t-il une distinction visible/non-visible dans le système démonstratif?,"Is there a distinction visible-non-visible when referencing to items that are in the same relative distance, i.e. it is not relevant that demonstratives denoting far away reference often also imply non-visibility.",2.3.06a,297,37,VisNonvisDem,demonstrative,deixis,functional inventory,Arawakan-specific
38,Are demonstratives classified?,,gerreesink,"Do demonstratives obligatorily encode classication of the referent noun, e.g., by carrying a classifer morpheme?",0==absent||1==present,Existe-t-il des classificateurs démonstratifs? (Nota bene: pas des indices d'accord),"Please note, this does NOT concern agreement with the noun class but a separate nominal classification system. This question concerns whether there exists a independent classifier system in demonstratives that is not related to the gender/noun class systems. This classifier system can however be symmetrical with numeral, possessive or verbal classifiers.",2.3.07,307,38,DemClassifier,demonstrative,nominal classification,functional inventory,
39,Are there declensions (partly) determined by number of the noun?,,gerreesink,(By noun declensions is meant e.g. nouns divided into groups which act differently in terms of morphological marking. Do not include place names which can act as bare adjuncts.),0==absent||1==present,Existe-t-il des déclinaisons qui sont déterminées  (partiellement) par le nombre du nom?,"Are there, for example, different markings of number that does not correlate with different markings of singular, i.e. are there new groups in the plural that are not aligned with the singular groups?",2.4.02,312,39,NumDecl,noun,number,declension,Arawakan-specific
40,Are there declensions (partly) determined by gender of the noun?,,gerreesink,,0==absent||1==present,Existe-t-il des déclinaisons qui sont (au moins partiellement) déterminées par le genre du nom ?,"This is a sub-question of ""are there genders/noun classes"" that is only concerned with the marking on the noun itself (i.e. there doesn't have to be agreement within the NP).",2.4.03,337,"50.0 -> 40:na, (245:1 v 246:1 v 247:1 v 248:1) -> 40:1",GenderDecl,noun,nominal classification,declension,Arawakan-specific
41,Are there nouns which are suppletive for number?,,gerreesink,Only answer yes if present for more than 2 (basic) kin terms,0==absent||1==present,Existe-t-il des noms qui sont marqués en nombre par supplétion?,Only answer (1) if there are more than two examples of this. Body-parts and kinship terms are good plcase to start investigating.,2.4.05,267,(210:1 ν 214:1 ν 219:1 ν 224:1 ν 229:1) -> 41:1,SuppletiveN,noun,number,suppletion,Arawakan-specific
42,Can singular number be marked on the noun itself?,,gerreesink,number-marking on N does not count phrase-level clitic or reduplication absence of plural marking does NOT count as singular marking,0==absent||1==present,Est-il possible de marquer le singulier sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Absence of plural marking or marking on the entire NP is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",2.4.07,345,(208.1 v 209:1 v 210:1 v 211:1) -> 42:1,SingMarkedN,noun,number,affixes & clitics (- agreement),Arawakan-specific
43,Can dual number be marked on the noun itself?,,gerreesink,number-marking on N does not count phrase-level clitic or reduplication,0==absent||1==present,Est-il possible  de marquer le duel sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",2.4.08,347,(212:1 v 213:1 v 214:1 v 215:1 v 216:1) -> 43:1,DualMarkedN,noun,number,affixes & clitics (- agreement),Arawakan-specific
44,Can plural number be marked on the noun itself?,,gerreesink,number-marking on N does not count phrase-level clitic or reduplication,0==absent||1==present,Est-il possible  de marquer le pluriel sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",2.4.09,353,(217:1 v 218:1 v 219:1 v 220:1 v 221:1) -> 44:1,PlMarkedN,noun,number,affixes & clitics (- agreement),Arawakan-specific
45,Is number marking prohibited on certain (types of) nouns?,,gerreesink,"(do not include proper nouns, e.g. place names or personal names)",0==absent||1==present,Le marquage du nombre est-il interdit pour certains types des noms?,"""Certain types of nouns"" refers to groups of nominal roots, be they genders/noun classes or other categories. There are languages where obligatoriness of number marker varies with the information status/deictic status of the referents (Yowle and Guro for example), that kind of distinction is not what this feature is concerned with. Is there any mention that certain types of nouns (mass nouns for example) or members of certain genders/noun classes cannot take any number marking? If there is a noun class that is described as ""collective"" or ""mass"" then it is necessary to investigate if roots that occur there can be put in a noun class that is more clearly marked for number. If they cannot then number marking is prohibited for those roots, i.e. (1) in F45.",2.4.11,274,"45:0 -> (205:na ^ 206:na), (205:1 v 206:1) -> 45:1",LimitedNum,noun,number,declension,Arawakan-specific
46,Are there associative plurals?,,gerreesink,The associative marker may or may not to be the same as a/the general plural marker,0==absent||1==present,Existe-t-il des pluriels associatifs?,"Is there a marker on the noun that instead of marking additive plural ""several X"" marks that the reference contains entities associated with X, ""X and other people/things associated with X’.",2.4.11a,183,46,AssocPl,noun,number,affixes & clitics (- agreement),
47,Is there a productive morphologically marked Action/state nominalization (arrive/arrival)?,,gerreesink,"if a language is precategorial, include the morphological mechanisms to produce such 'nominalizations'",0==absent||1==present,"Existe-t-il un processus de nominalisation productif permettant dériver un état d’une action (ou l’inverse), comme ‘arriver’ – ‘l’arrivée’?","Arrive -arriving would also serves as an example, or 'La concentracio´n de Sherlock Holmes duro´ cinco horas'  - ‘Sherlock Holmes’ concentration lasted five hours’.  Productive compounding with nouns is not sufficient for a ""yes ""in F47.",2.4.12,259,47,ActStateNmzr,verb,derivation,affixes & clitics (- agreement),Arawakan-specific
48,Is there a productive morphologically marked Agentive nominalization (sing-er)?,,gerreesink,,0==absent||1==present,Existe-t-il un processus de nominalisation productif permettant de dériver un agent d’une action (‘chanter’ - ‘chanteur’)?,"Productive compounding with words meaning “person” is not sufficient for a ""yes ""in F48.",2.4.13,252,48,AgentiveNmzr,verb,derivation,affixes & clitics (- agreement),Arawakan-specific
49,Is there a productive morphologically marked Object nominalization (sing; song)?,,gerreesink,,0==absent||1==present,Existe-t-il un processus de nominalisation productif permettant de dériver un objet d’une action (‘chanter’ - ‘chanson’)?,"Productive compounding with words meaning “thing” is not sufficient for a ""yes ""in F49.",2.4.14,242,49,ObjectNmzr,verb,derivation,affixes & clitics (- agreement),Arawakan-specific
50,Are there noun classes/genders?,,gerreesink,By noun classes/genders is meant a system of dividing all or almost all of the nouns of a language into morphological classes which determine agreement phenomena beyond the noun itself.,0==absent||1==present,Existe-t-il des classes nominales/genres ?,"We make no distinction between 'gender' and 'noun classes' in this survey.  They are systems of nominal and/or pronominal classification that is overtly marked either on the noun itself, through concord on other constituents or on 3rd person pronouns only. A (1) in F30, F196 or F197 (gender in pronouns) or F40 does not automatically give a (1) in F50. A (1) in F116 (noun class agreement on the verb) or in F56 (noun class agreement in NP) will however give a (1) in F50.",2.5.01,348,(56:1 ν 40:1 ν 199:1 ν 283:1) -> 50:1,Genders,noun,nominal classification,functional inventory,Arawakan-specific
51,Is sex a relevant category in the noun class/gender system?,,gerreesink,,0==absent||1==present,Le sexe est-t-il une catégorie pertinente dans le système de genre/classe nominale ?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.",2.5.02,325,50:0  -> 51:0,SexGender,noun,nominal classification,functional inventory,Arawakan-specific
52,Is shape a relevant category in the noun class/gender system?,,gerreesink,,0==absent||1==present,La forme constitue-t-elle une catégorie pertinente  dans le système de genre/classe nominale?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.",2.5.03,314,50:0  -> 52:0,ShapeGender,noun,nominal classification,functional inventory,Arawakan-specific
53,Is animacy (without reference to sex) a relevant category in the noun class/gender system?,,gerreesink,,0==absent||1==present,Le caractère animé  constitue-il une catégorie pertinente dans le système de genre/classe nominale ?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.",2.5.04,351,50:0  -> 53:0,AnimGender,noun,nominal classification,functional inventory,Arawakan-specific
54,Is plant status a relevant category in the noun class/gender system?,,gerreesink,,0==absent||1==present,Le caractère végétal constitue-t-il une catégorie pertinente dans le système de genre/classe nominale ?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.",2.5.04a,285,50:0  -> 54:0,PlantGender,noun,nominal classification,functional inventory,Arawakan-specific
55,Does the language only have a gender distinction in 3rd person pronouns?,,gerreesink,emphasis on ONLY; cf. 2.2.02,0==absent||1==present,La distinction de genre dans la langue affecte-elle uniquement les pronoms de 3ème  personne,"The value (0) here can mean both ""No, there is gender in 3rd person pronouns, but there is also gender/noun class distinctions elsewhere"" and "" No, there is no gender distinctions in 3rd person pronouns and there are genders/noun classes elsewhere"".",2.5.05,328,"30:0 -> 55:na, (30:1 ^ 50:0 ^ 197:0 ^ 196:0) -> 55:1",GenderOnly3,pronoun,pronominal gender,functional inventory,Arawakan-specific
56,"Is there concord within the NP, i.e. agreement of elements within the NP with the noun class of a noun?",,gerreesink,related to class/gender,0==absent||1==present,"Y-a-t-il un accord au sein du NP, c’est-à-dire que les autres éléments du NP s’accordent à la classe nominale du nom ?",,2.5.06,327,50:0 - > 56:na,NPConcord,noun phrase,nominal classification,agreement,Arawakan-specific
57,Are there numeral classifiers?,,gerreesink,"i.e. free or bound morphemes which are non-agreeing, noun categorisation devices, the choice of which is determined by lexical selection",0==absent||1==present,Existe-il des classificateurs numéraux?,This does not concern whether or not numerals agree with the noun class of the head they modify. This question concerns whether there exists a independent classifier system in numerals that is not related to the other classifier systems.,2.5.09,329,57,NumClassif,classifier,nominal classification,inserted item,Arawakan-specific
58,Are there possessive classifiers?,,gerreesink,"i.e. free or bound morphemes which are non-agreeing, noun categorisation devices, the choice of which is determined by lexical selection",0==absent||1==present,Existe-t-il des classificateurs possessifs?,"This does not concern whether or not possessive markers agree with the noun class of the possessum. This question concerns whether there exists a independent classifier system in possessive markers that is not related to the other classifier systems. We are concerned both with markers that signal the nature of the possessor or the possessum, and the relationship between them. Differences in the expression of individual, joint, separate and group possession is not relevant here. This feature applies to both pronominal and nominal possessors. Possessive classifiers need not be obligatory, it can also be possible to construct possessive phrases with no classification of nominals into different categories.",2.5.10,331,58,PossClassif,classifier,nominal classification,inserted item,Arawakan-specific
59,Is alienable/inalienable a relevant distinction?,,gerreesink,,0==absent||1==present,Est-ce que la distinction aliénable/inaliénable est pertinente?,"Are there different constructions, either in attributive or predicative possession, that differ in alienability? This feature applies to both pronominal and nominal possessors.",2.6.02,322,60:0 -> 59:0,Inalien,noun + pronoun,possession,construction,Arawakan-specific
60,Are there different possessive constructions?,,gerreesink,,0==absent||1==present,Existe-t-il différentes constructions possessives attributives?,"This question pertains only to attributive possession. The difference could be alienable/inalienable or different classes of possession as in F58. Differences in the expression of individual, joint, separate and group possession is not relevant here. This feature applies to both pronominal and nominal possessors. The difference in marking cannot only be the prescence or abscence of a certain marker, such as the possissive marker being optional in inalienable constructions. However, the difference can be marked by change in order of the elements, even if they elements are exactly the same and it is only order that is different.",2.6.03,304,(66:1 ν 59:1) -> 60:1,MultPossCons,noun + pronoun,possession,construction,Arawakan-specific
61,Can possession be marked by a prefix?,,gerreesink,"To mark possession, can you mark the possessor by a prefix to the possessed  noun?",0==absent||1==present,Est-il possible de marquer la possession attributive par un préfix?,Attributive possession on either the possessor or possessum. This feature applies to both pronominal and nominal possessors.,2.6.05,340,61,PossPrefix,noun + pronoun,possession,affixes & clitics (- agreement),Arawakan-specific
62,Can possession be marked by a suffix?,,gerreesink,"To mark possession, can you mark the possessor by a suffix to the possessed noun?",0==absent||1==present,Est-il possible de marquer la possession attributive par un suffixe?,Attributive possession on either the possessor or possessum. This feature applies to both pronominal and nominal possessors.,2.6.06,332,62,PossSuffix,noun + pronoun,possession,affixes & clitics (- agreement),Arawakan-specific
63,Can possession be marked on the nominal possessor?,,gerreesink,,0==absent||1==present,Est-il possible de marquer la possession attributive sur le possesseur ?,Attributive possession only. This feature applies to both pronominal and nominal possessors.,2.6.07,332,63,MarkedPossr,noun + pronoun,possession,affixes & clitics (- agreement),Arawakan-specific
64,Can possession be marked on the nominal possessee?,,gerreesink,,0==absent||1==present,Est-il possible de marquer la possession attributive sur le possédé?,Attributive possession only. This feature applies to both pronominal and nominal possessors.,2.6.08,340,64,MarkedPossd,noun + pronoun,possession,affixes & clitics (- agreement),Arawakan-specific
65,What is the relative position of possessor and possessed in the attributive possessive construction?,,gerreesink,,1==Possessor-Possessed||2==Possessed-Possessor||3==both,$$Quel est l’ordre du possesseur et du possèdé dans le syntagme possessif attributif?,"In a pragmatically unmarked construction, i.e. not focus. This feature applies to both pronominal and nominal possessors.",see 2.6.09a and 2.6.09b,323,66:1 -> 65:2,OrderPosdPosr,noun phrase,possession,word order,Arawakan-specific
66,Are there different orders of elements in a possessive phrase for different classes of possession?,,gerreesink,"Different types of possession can be, e.g., alienable/ inalienable. Then one has to check if the different types of possession uses constructions with different orders",0==absent||1==present,Est-ce que l’ordre des éléments dans le syntagme possessif est différent pour des classes différentes de possession?,"This questions pertains only to attributive possession and the order or possessor and possessum. The position of a potential linker is not relevant here. See F58 and F60 for definition of ""different classes of possession"". This feature applies to both pronominal and nominal possessors. Difference in information status or definiteness does not constitute different classes of possession.",2.6.10,299,60:0 -> 66:na,DiffOrdPoss,noun phrase,possession,construction,Arawakan-specific
67,What is the counting system?,,gerreesink,,1==Decimal||2==Quinary||3==Body-part tallying||4==minimal,Quel est le system de comptage/numéral?,"We are concerned with how 1-9 is formed here, disregard 10 +. The category of decimal includes both those systems where 1-9 is non-composite and those where some numbers of 1-9 are formed by subtraction from 10 (i.e. 8 = ""10-2""). A system is deemed quinary when at least two numerals of 6-9 are formed with a morpheme that is clearly the same as for 5.",see 2.7.01 and 2.7.02 and 2.7.03a and 2.7.03b,276,67,Counting,numeral,quantification,functional inventory,
68,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) act like verbs in predicative position?",,gerreesink,,0==absent||1==present,"Est-ce que les adjectifs fondamentaux (définis sémantiquement comme des mots qui expriment les propriétés ; valeur, forme, âge ou dimension) se comportent comme des verbes lorsqu’ils sont en position de prédicat ?","Do elements expressing predicate adjectival meaning take on verbal morphology? The adjectival roots need not take full verbal marking, if there is at least some marking that verbal and adjectival roots share then there is a yes here. The result need not be finite, participles would count if that’s what verbs do too in the relevant function. This means that if the language in question forms modifying verbs by participles (“running man”) and this is the same for adjectival roots (“redding man”) then there is a yes here.",2.8.01a,296,68,VlikePredAdj,adjective,predication,conjugation,Arawakan-specific
69,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",,gerreesink,,0==absent||1==present,"Est-ce que des adjectifs fondamentaux (définissémantiquement comme des mots qui expriment les attributs d’évaluation, forme, âge ou dimension) requirent le même traitement morphologique que les verbes lorsqu’ils sont en position d’attribut ?","Do elements expressing attributive adjectival meaning receive the same treatment as verbs when verbs are used attributively, i.e. inside an NP? The adjectival roots need not take exactly all verbal marking. If there is at least some marking that verbal and adjectival roots share then there is a yes here. The result need not be finite, participles would count if that is the way verbs are marked when used attributively. This means that if the language in question forms modifying verbs by participles (“running man”) and this is the same for adjectival roots (“redding man”) then there is a yes here.",2.8.01b,299,69,VlikeAttrAdj,adjective,attribution,head marking,Arawakan-specific
70,"Is there case marking for core nominal NPs (i.e., S, A or O function)?",,gerreesink,"for case marking, include any affixal marking which appears in the NP and shows the function of the NP in the clause; do not count adpositions",0==absent||1==present,"Existe-t-il des cas grammaticaux qui affectent  des NPs basiques (i.e. S, A et O) ?","Core NPs are the NPs required by the verb to be present, typically S, A or O.",2.9.01,328,70,NPCase,noun phrase,argument marking,case marking,Arawakan-specific
